Gender,agerange,AcademicStatus,socialMediaPlatforms,emergingtechnologies,HowdoyouaccessyoursocialmediaplatformsYoucanchoosemorethanone,Howlonghaveyoubeenusingsocialnetworkingsites,HowoftendoyouvisityourSocialNetworkaccounts,Onaveragehowmuchtimedoyouspenddailyonasocialnetworkingsite,Howmanyofyourclassmatesareyourcontactsfriendsonyoursocialnetwork,WhydoyouusesocialnetworksYoucanchoosemorethanone,Incorporatingsocialmediaplatformsandemergingtechnologieshighligh,Socialmediaplatformsandemergingtechnologieshighlightedearliercou,Incorporatingsocialmediaandemergingtechnologiesasateachingtoolwi,EducationalLearningviathesocialmediaplatformswillbeeasyforme,Itwillbebeneficialformetobecomeskilfulatusingsocialmediaplatform,MycolleaguesthinkIshouldusesocialmediaandemergingtechnologiesfor,Myfamilyandfriendswillappreciatemyuseofsocialmediaandemergingtec,Myprivacywillbeinfringedifsocialmediaplatformsandemergingtechnol,Internetavailabilityandsignalstrengthwillbeaprobleminusingthesoc,Internetdatabundlesaffordabilitywillbeaprobleminusingthesocialme,Poweravailabilitywillbeaprobleminusingthesocialmediaandemergingt,Ihavethetechnicalskillstousesocialmediaplatformsandemergingtechn,Iwillbewillingtousesocialmediaplatformsandemergingtechnologiesfo,Iwillbewillingtodevotetherequiredtimeandenergyformylearningactiv,Areyoupresentlyinvolvedinelearningusinganysocialmediaplatformore,Whichelearningcoursesorplatformsareyoucurrentlyengagedin
Female,15 - 25,Student - Full time,WhatsApp,Facebook Live,Smatphone,3-5 years,Daily,Less than 1 hour,Less than 20,To find information,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,No, 
Male,15 - 25,Student - Full time,Facebook;WhatsApp;Telegram,"Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc;Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...);Gamification via Games-based learning (GBL);Web-based Elearning Platforms",Smatphone,above 5 years,Daily,Less than 1 hour,Less than 20,To find information;To play games;To keep in touch with family and friends;To get latest information/gist;For academic purposes,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,No, 
Male,15 - 25,Student - Full time,Twitter;Instagram;WhatsApp;YouTube;Snapchat;Google Plus;Tiktok,"Facebook Live;Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...);Artificial Intelligence (AI) via AI tutoring system using Robots, Holographic teacher",Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,No, 
Male,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp;Telegram;YouTube,Zoom;Facebook Live,Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,5.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,Yes, 
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;Snapchat,"Google Classroom;Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...);Web-based Elearning Platforms",Smatphone,3-5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To play games;To keep in touch with family and friends;To get latest information/gist;For academic purposes,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,4.0,4.0,Yes,Digital marketing
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn,"Google Classroom;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc;Telegram",Laptop;Smatphone,above 5 years,Daily,Always online,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;For academic purposes,5.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,Yes,Google digital skills for africa(digital marketing)
Male,26 - 35,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube;Snapchat;Google Plus,"Zoom;Facebook Live;Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...);Web-based Elearning Platforms",Laptop;Smatphone,above 5 years,Daily,7 - 12 hours per day,20 - 50,To find information;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,Yes,Sololearn
Female,15 - 25,Student - Full time,Facebook;WhatsApp,Zoom,Smatphone,3-5 years,Daily,1 - 6 hours per day,Less than 20,To find information;To get latest information/gist;For academic purposes,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,No,
Male,26 - 35,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;LinkedIn,,Smatphone,above 5 years,Daily,7 - 12 hours per day,Almost everyone,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes;To while away time,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,Yes,Google digital marketing training.
Female,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;LinkedIn,"Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To get latest information/gist;For academic purposes,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,Yes,Udemy
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;Pinterest;Snapchat,Projector,Smatphone,above 5 years,Daily,7 - 12 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,Yes, 
Female,15 - 25,Student - Full time,Facebook;Twitter;WhatsApp,Zoom,Smatphone,above 5 years,Daily,7 - 12 hours per day,51- 100,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,No, 
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram,Zoom;Facebook Live;Google Classroom,Smatphone,above 5 years,Daily,7 - 12 hours per day,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,Yes,Online Masterclass class
Male,15 - 25,Student - Full time,Instagram;WhatsApp,Zoom,Laptop;Smatphone,above 5 years,Daily,Always online,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To share videos/ pictures/ music,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,Yes,Udemy
Female,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp;Telegram;Snapchat,"Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Smatphone,above 5 years,Daily,Always online,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;For academic purposes,4.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,Yes,Udemy
Male,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp;YouTube;Pinterest,"Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Laptop;Smatphone,above 5 years,Daily,7 - 12 hours per day,20 - 50,To find information;To keep in touch with family and friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,5.0,5.0,1.0,3.0,3.0,3.0,No, 
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram,Facebook Live,Smatphone,3-5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,No, 
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube;Blogger.com,Zoom;Facebook Live;Google Classroom;Gamification via Games-based learning (GBL);Web-based Elearning Platforms,Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,51- 100,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Yes,Management of videography
Male,15 - 25,Student - Full time,Facebook;WhatsApp;Telegram,Facebook Live;Google Classroom,Smatphone,3-5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To keep in touch with family and friends;To get latest information/gist;To share your experience;For academic purposes,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,No, 
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;YouTube;Pinterest,Google Classroom;Web-based Elearning Platforms,Laptop;Smatphone,above 5 years,Occassionally,1 - 6 hours per day,Less than 20,To find information;To make professional and business contacts;To keep in touch with family and friends;For academic purposes,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,Yes,Telegram and Whatsapp
Female,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp;YouTube;Snapchat,Web-based Elearning Platforms,Smatphone,3-5 years,Weekly,7 - 12 hours per day,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes;To while away time,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,No, 
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;Tiktok,"Google Classroom;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Smatphone,3-5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes,5.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,Yes,Telegram
Male,26 - 35,Student - Full time,Facebook;Twitter;WhatsApp;Telegram;LinkedIn;YouTube,"Google Classroom;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc;Web-based Elearning Platforms",Laptop;Smatphone,above 5 years,Weekly,Less than 1 hour,51- 100,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist,4.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,Yes,Linux essential by Cisco
Male,15 - 25,Student - Full time,Facebook;Twitter;WhatsApp;LinkedIn,WhatsApp video call,Smatphone,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes;To while away time,5.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,No, 
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube,"Zoom;Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Laptop;Smatphone,3-5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share your experience;For academic purposes;To while away time,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,Yes,UDEMY
Male,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp,"Facebook Live;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Smatphone,3-5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,Yes,Skills aquisition
Male,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp;Telegram;YouTube,,Smatphone,above 5 years,Daily,1 - 6 hours per day,Less than 20,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,No,Download from YouTube
Male,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp;Snapchat,Facebook Live,Smatphone,3-5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To play games;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,No, 
Female,15 - 25,Student - Full time,Instagram,Zoom,Smatphone,3-5 years,Daily,1 - 6 hours per day,Less than 20,To find information,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Yes,Csc/telegram
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;YouTube,WhatsApp platform,Smatphone,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To keep in touch with family and friends;To make new friends;For academic purposes,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,Yes,Graphics and design
Female,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp;Blogger.com;WeChat,Facebook Live,Smatphone,1-2 years,Daily,1 - 6 hours per day,20 - 50,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,No, 
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube;Blogger.com;Google Plus;Joobla,"Facebook Live;Google Classroom;Learning Management System (Moodle, Talent, Docebo etc.);WhatsApp",Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes,4.0,5.0,3.0,4.0,4.0,3.0,3.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,Yes,Graphic design
Female,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Snapchat,Facebook Live,Smatphone,above 5 years,Daily,7 - 12 hours per day,20 - 50,To find information;To play games;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To while away time,4.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,No, 
Male,15 - 25,Student - Full time,Facebook;WhatsApp;Telegram,Facebook Live,Smatphone,above 5 years,Daily,Always online,Almost everyone,To find information;To play games;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share your experience;For academic purposes,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,Yes,
Female,15 - 25,Student - Full time,Facebook,Facebook Live,Tablet or Ipad,1-2 years,Weekly,Less than 1 hour,20 - 50,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share your experience;For academic purposes,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,No, 
Female,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram,Facebook Live;Google Classroom,Smatphone,above 5 years,Daily,1 - 6 hours per day,51- 100,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,No, 
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;YouTube;Pinterest,"Google Classroom;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Smatphone,3-5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To keep in touch with family and friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes,4.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,Yes,Digital marketing
Male,15 - 25,Student - Full time,Facebook;WhatsApp,Whatsapp,Smatphone,above 5 years,Daily,1 - 6 hours per day,Less than 20,To find information;To keep in touch with family and friends;To get latest information/gist;For academic purposes,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,Yes,Tutorial platform
Female,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp;Telegram;LinkedIn;Tiktok,Augmented (Virtual ) Reality & Simulations,Smatphone,3-5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Yes,Allison
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube,Facebook Live,Laptop;Desktop;Smatphone;Tablet or Ipad,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To make professional and business contacts;To make new friends;To get latest information/gist;To share your experience;For academic purposes,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,Yes,Forex
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube;Pinterest;Snapchat;Blogger.com;Google Plus;Tumblr;Tiktok,"Zoom;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc;Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...);Web-based Elearning Platforms",Laptop;Smatphone;Tablet or Ipad,above 5 years,Occassionally,1 - 6 hours per day,Less than 20,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,No, 
Male,26 - 35,Student - Full time,Telegram,Zoom,Smatphone,above 5 years,Daily,7 - 12 hours per day,20 - 50,For academic purposes,3.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,No, 
Male,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp;Telegram,"Facebook Live;Google Classroom;Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share your experience;For academic purposes,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,No,Graphics Designer
Male,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp;Snapchat,Facebook Live,Smatphone,1-2 years,Daily,Less than 1 hour,20 - 50,To find information;To keep in touch with family and friends;To get latest information/gist;For academic purposes,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,No, 
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn,Zoom,Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To play games;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;For academic purposes;To while away time,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,Yes,Zoom
Female,15 - 25,Student - Full time,Facebook;WhatsApp;YouTube,"Facebook Live;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc;Learning Management System (Moodle, Talent, Docebo etc.)",Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,Yes, 
Female,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube;Snapchat,Facebook Live;Whatsapp,Smatphone;Tablet or Ipad,3-5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;For academic purposes,4.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,Yes, 
Male,26 - 35,Student - Full time,Facebook;WhatsApp,Facebook Live;Google Classroom,Laptop;Smatphone,above 5 years,Weekly,Less than 1 hour,Less than 20,To find information;To keep in touch with family and friends;To get latest information/gist;To share your experience,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,3.0,Yes,www.saylor.org
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;YouTube;Snapchat,Facebook Live,Smatphone,1-2 years,Daily,1 - 6 hours per day,51- 100,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes,5.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,No,No
Male,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp;Telegram;Snapchat,Facebook Live,Smatphone,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To get latest information/gist,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,Yes,Edx
Female,26 - 35,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;LinkedIn;Snapchat,Facebook Live,Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,51- 100,To find information;To keep in touch with family and friends;To get latest information/gist;For academic purposes;To while away time,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,No, 
Female,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp;Tiktok;Triller,Web-based Elearning Platforms,Smatphone,3-5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To keep in touch with family and friends;To share videos/ pictures/ music;To while away time,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,3.0,4.0,3.0,No, 
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram,"Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc;Learning Management System (Moodle, Talent, Docebo etc.);Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...);Web-based Elearning Platforms",Laptop;Smatphone;Tablet or Ipad,above 5 years,Daily,7 - 12 hours per day,Almost everyone,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;To share videos/ pictures/ music;For academic purposes,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,Yes, 
Male,26 - 35,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;LinkedIn;YouTube;Snapchat;Windows Live;Google Plus,Zoom;Facebook Live;Google Classroom,Laptop;Desktop;Smatphone,above 5 years,Daily,Always online,Almost everyone,To find information;To play games;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,Yes,Digital Marketing/ coursera
Female,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp,Facebook Live,Laptop;Smatphone,above 5 years,Daily,7 - 12 hours per day,20 - 50,To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;For academic purposes,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,No, 
Female,15 - 25,Student - Full time,Twitter;Instagram;WhatsApp;YouTube;Pinterest;Snapchat,"Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...)",Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To keep in touch with family and friends;To make new friends;To get latest information/gist;For academic purposes,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,5.0,4.0,No, 
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;YouTube,GSM Repair,Smatphone,3-5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;For academic purposes,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,Yes,"GSM Repair, Agric Hub"
Male,15 - 25,Student - Full time,Twitter;Instagram;WhatsApp,"Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Smatphone,3-5 years,Daily,Less than 1 hour,Almost everyone,To find information;For academic purposes,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,Yes,YouTube
Male,15 - 25,Student - Full time,Facebook;Instagram;WhatsApp;YouTube,Facebook Live,Smatphone,above 5 years,Daily,1 - 6 hours per day,Almost everyone,To find information;To play games;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,No, 
Male,26 - 35,Student - Full time,Facebook;Instagram;WhatsApp;Telegram;LinkedIn,"Zoom;Facebook Live;Massive Open Online Courses (MOOC) like Coursera, Udemy, EDX etc",Smatphone,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;To get latest information/gist;For academic purposes,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,Yes,Learning computer science (css5) with Harvard University online programme
Male,15 - 25,Student - Full time,Facebook;Twitter;Instagram;WhatsApp;Telegram;Pinterest,"Mobile Learning via Mobile Apps (Sololearn, Simplilearn, Grasshopper...);Web-based Elearning Platforms",Laptop;Smatphone,above 5 years,Daily,1 - 6 hours per day,20 - 50,To find information;To make professional and business contacts;To keep in touch with family and friends;To make new friends;To get latest information/gist;To share videos/ pictures/ music;To share your experience;For academic purposes;To while away time,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,Programming
